family,n,seed,panel,tau,w,accumulate,steps,triggers,subs,fallbacks,scanned,trigger_pct,sub_pct,fallback_pct,sub_success_given_trigger_pct,avg_scanned_per_step,max_mult,growth,residual,finite,time_s
uniform,256,0,32,1.05,16,fp32,256,93,88,5,143,36.328125,34.375,1.953125,94.6236559139785,0.55859375,0.99560546875,10.1484375,0.0012617039712947366,True,0.024821144994348288
uniform,256,0,32,1.05,8,fp32,256,93,88,5,135,36.328125,34.375,1.953125,94.6236559139785,0.52734375,0.99560546875,10.1484375,0.0012617039712947366,True,0.024906739010475576
uniform,256,0,32,1.1,8,fp32,256,168,152,16,426,65.625,59.375,6.25,90.47619047619048,1.6640625,0.99609375,12.046875,0.001243348760156838,True,0.026118798996321857
uniform,256,0,32,1.1,16,fp32,256,147,132,15,379,57.421875,51.5625,5.859375,89.79591836734694,1.48046875,0.99755859375,8.921875,0.0012548014543764102,True,0.026617435010848567
uniform,256,0,32,1.1,12,fp32,256,147,132,15,367,57.421875,51.5625,5.859375,89.79591836734694,1.43359375,0.99755859375,8.921875,0.0012548014543764102,True,0.02656049601500854
uniform,256,0,32,1.02,12,fp32,256,39,37,2,58,15.234375,14.453125,0.78125,94.87179487179488,0.2265625,0.99560546875,10.203125,0.001232054995293062,True,0.027192391018616036
uniform,256,0,32,1.05,6,fp32,256,93,88,5,133,36.328125,34.375,1.953125,94.6236559139785,0.51953125,0.99560546875,10.1484375,0.0012617039712947366,True,0.028733174985973164
uniform,256,0,32,1.05,12,fp32,256,93,88,5,139,36.328125,34.375,1.953125,94.6236559139785,0.54296875,0.99560546875,10.1484375,0.0012617039712947366,True,0.028812328993808478
uniform,256,0,32,1.1,1,fp32,256,147,63,84,142,57.421875,24.609375,32.8125,42.857142857142854,0.5546875,0.99951171875,9.6328125,0.001278997942552253,True,0.029227046004962176
uniform,256,0,32,1.1,2,fp32,256,155,98,57,244,60.546875,38.28125,22.265625,63.225806451612904,0.953125,0.99853515625,13.8125,0.001272421198564281,True,0.030687891005072743
uniform,256,0,32,1.1,4,fp32,256,157,123,34,333,61.328125,48.046875,13.28125,78.34394904458598,1.30078125,0.9970703125,9.5859375,0.0012722040346405165,True,0.032775689993286505
uniform,256,0,32,1.2,1,fp32,256,220,45,175,214,85.9375,17.578125,68.359375,20.454545454545453,0.8359375,0.9990234375,10.8671875,0.001283189064762421,True,0.034447110985638574
uniform,256,0,32,1.1,6,fp32,256,159,142,17,376,62.109375,55.46875,6.640625,89.30817610062893,1.46875,0.9990234375,9.5546875,0.0012799034754026536,True,0.035109880001982674
uniform,256,0,32,1.2,2,fp32,256,220,63,157,392,85.9375,24.609375,61.328125,28.636363636363637,1.53125,0.9990234375,10.3671875,0.0013201004861850623,True,0.018327457015402615
uniform,256,0,32,1.5,1,fp32,256,244,7,237,237,95.3125,2.734375,92.578125,2.8688524590163933,0.92578125,1.0,11.2109375,0.001303342150536508,True,0.024235275021055713
uniform,256,0,32,1.5,2,fp32,256,247,8,239,470,96.484375,3.125,93.359375,3.2388663967611335,1.8359375,1.0,26.84375,0.00130620872993898,True,0.02536719699855894
uniform,256,0,32,1.2,4,fp32,256,223,103,120,647,87.109375,40.234375,46.875,46.18834080717489,2.52734375,0.9990234375,9.703125,0.001230788773298412,True,0.02843790900078602
uniform,256,1,32,1.005,1,fp32,256,11,10,1,11,4.296875,3.90625,0.390625,90.9090909090909,0.04296875,0.99560546875,11.296875,0.0013143096390839531,True,0.015767592994961888
uniform,256,0,32,1.2,6,fp32,256,226,131,95,880,88.28125,51.171875,37.109375,57.9646017699115,3.4375,0.9990234375,11.8984375,0.0012538068900835343,True,0.030877398006850854
uniform,256,0,32,1.5,4,fp32,256,247,19,228,888,96.484375,7.421875,89.0625,7.6923076923076925,3.46875,1.0,9.4375,0.0012994639583566784,True,0.0291275619820226
uniform,256,1,32,1.001,2,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.9990234375,11.640625,0.001294300241897876,True,0.025130283000180498
uniform,256,0,32,1.5,6,fp32,256,250,31,219,1283,97.65625,12.109375,85.546875,12.4,5.01171875,1.0,11.8828125,0.0012942055446098814,True,0.028044977982062846
uniform,256,0,32,1.2,8,fp32,256,219,123,96,1038,85.546875,48.046875,37.5,56.16438356164384,4.0546875,0.9990234375,8.8125,0.001245782602027645,True,0.03206056100316346
uniform,256,1,32,1.001,4,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.9990234375,11.640625,0.001294300241897876,True,0.025651219009887427
uniform,256,1,32,1.001,1,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.9990234375,11.640625,0.001294300241897876,True,0.02648423600476235
uniform,256,1,32,1.001,6,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.9990234375,11.640625,0.001294300241897876,True,0.02530551701784134
uniform,256,1,32,1.001,8,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.9990234375,11.640625,0.001294300241897876,True,0.025132748007308692
uniform,256,0,32,1.2,12,fp32,256,224,166,58,1120,87.5,64.84375,22.65625,74.10714285714286,4.375,0.99853515625,9.2578125,0.0012092634534967396,True,0.034617337019881234
uniform,256,1,32,1.001,12,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.9990234375,11.640625,0.001294300241897876,True,0.024656289984704927
uniform,256,0,32,1.2,16,fp32,256,225,164,61,1263,87.890625,64.0625,23.828125,72.88888888888889,4.93359375,0.99853515625,9.2890625,0.0012105989581810924,True,0.03511198499472812
uniform,256,1,32,1.001,16,fp32,256,1,1,0,1,0.390625,0.390625,0.0,100.0,0.00390625,0.9990234375,11.640625,0.001294300241897876,True,0.024684302014065906
uniform,256,0,32,1.5,8,fp32,256,251,33,218,1636,98.046875,12.890625,85.15625,13.147410358565738,6.390625,1.0,10.28125,0.0012843421051519784,True,0.036568171984981745
uniform,256,1,32,1.005,2,fp32,256,14,14,0,15,5.46875,5.46875,0.0,100.0,0.05859375,0.99462890625,12.1015625,0.0012880309980793795,True,0.015435137989697978
uniform,256,0,32,1.5,12,fp32,256,249,37,212,2235,97.265625,14.453125,82.8125,14.859437751004016,8.73046875,1.0,8.28125,0.0012387862285296277,True,0.04176243601250462
uniform,256,1,32,1.005,4,fp32,256,14,14,0,15,5.46875,5.46875,0.0,100.0,0.05859375,0.99462890625,12.1015625,0.0012880309980793795,True,0.021133036992978305
uniform,256,1,32,1.005,8,fp32,256,14,14,0,15,5.46875,5.46875,0.0,100.0,0.05859375,0.99462890625,12.1015625,0.0012880309980793795,True,0.020824567996896803
