tau,w,runs,trigger_pct,sub_pct,fallback_pct,sub_given_trig,avg_scans,max_mult,growth_mean,growth_max,residual_gmean,residual_max
1.001,1,120,1.065673828125,1.0286458333333333,0.037027994791666664,96.45998080399436,0.010502115885416666,1.0,14.188151041666666,45.75,0.0029526897048383523,0.008798179781093094
1.001,2,120,1.0445149739583333,1.0225423177083333,0.02197265625,97.76632221277613,0.01046142578125,1.0,14.346142578125,46.75,0.002953235630062183,0.008798179781093094
1.001,4,120,1.0526529947916667,1.0306803385416667,0.02197265625,97.82874034242113,0.010616048177083334,1.0,14.381949869791667,46.75,0.002954255554644865,0.008798179781093094
1.001,6,120,1.053466796875,1.033935546875,0.01953125,98.0341007474527,0.010664876302083333,1.0,14.256689453125,46.75,0.002955140953705773,0.008798179781093094
1.001,8,120,1.053466796875,1.033935546875,0.01953125,98.0341007474527,0.010697428385416667,1.0,14.256689453125,46.75,0.002955140953705773,0.008798179781093094
1.001,12,120,1.0546875,1.0359700520833333,0.018717447916666668,98.10461846502925,0.010750325520833333,1.0,14.361116536458333,47.625,0.002955261688031425,0.008798179781093094
1.001,16,120,1.0546875,1.0359700520833333,0.018717447916666668,98.10461846502925,0.010782877604166666,1.0,14.361116536458333,47.625,0.002955261688031425,0.008798179781093094
1.005,1,120,4.638671875,4.282633463541667,0.3560384114583333,92.31707196768323,0.04552001953125,1.0,14.673079427083334,52.09375,0.0029458333450134593,0.008818090826655802
1.005,2,120,4.703369140625,4.586588541666667,0.11678059895833333,97.53668665956168,0.04892171223958333,1.0,14.232291666666667,49.28125,0.002945875021414162,0.00885015893922968
1.005,4,120,4.691569010416667,4.593912760416667,0.09765625,97.93021256186454,0.04950764973958333,1.0,14.311800130208333,49.28125,0.0029450670382417843,0.00885015893922968
1.005,6,120,4.68017578125,4.585774739583333,0.09440104166666667,97.99489510154709,0.04989827473958333,1.0,14.316031901041667,49.28125,0.0029449603348679085,0.00885015893922968
1.005,8,120,4.68017578125,4.585774739583333,0.09440104166666667,97.99489510154709,0.050337727864583334,1.0,14.316031901041667,49.28125,0.0029449603348679085,0.00885015893922968
1.005,12,120,4.68017578125,4.585774739583333,0.09440104166666667,97.99489510154709,0.05121663411458333,1.0,14.316031901041667,49.28125,0.0029449603348679085,0.00885015893922968
1.005,16,120,4.68017578125,4.585774739583333,0.09440104166666667,97.99489510154709,0.05209554036458333,1.0,14.316031901041667,49.28125,0.0029449603348679085,0.00885015893922968
