family,n,panel_width,blocking,ir_requested,samples,completed,fro_residual,residual_over_nu,probe_rse,probe_ms,factorization_ms,growth_envelope,scaled_elements,ir_converged,ir_iterations,ir_initial_backward,ir_final_backward,ir_final_forward,ir_ms
graded_wide,10240,128,blocked_fp16,10,3,3,0.23891833123997805,0.04778366624799561,0.0015850318945192076,201.71177673339844,913.4867553710938,910.6786006546645,179169280.0,0,10.0,1.3184549964881065e-10,1.2542754223965205e-10,6.819269617291149e+21,60.560638427734375
graded_wide,10240,128,blocked_fp32_accumulate,10,3,3,0.04225803620582704,0.008451607241165409,0.0013680312139914925,201.79014587402344,914.716552734375,930.0218903436988,177930240.0,0,10.0,2.770907596460465e-11,2.1398400356638474e-11,596819781005567.0,60.84630584716797
graded_wide,1024,64,blocked_fp16,10,3,3,0.027626300252742163,0.05525260050548433,0.005007985522916643,20.134624481201172,28.537914276123047,145.6238463081862,972800.0,0,10.0,1.020425122499955e-10,1.2376812845153903e-10,10357042.0,5.784448146820068
graded_wide,20480,512,blocked_fp16,10,3,3,0.4700340620720742,0.04700340620720742,0.0012639442479322833,417.2015380859375,5850.22705078125,5377.197177419355,1125191680.0,0,10.0,1.740666309783773e-10,1.7162786503167327e-10,5.967275502683963e+25,154.3462677001953
graded_wide,20480,512,blocked_fp32_accumulate,10,3,3,0.09638520322005346,0.009638520322005347,0.0012068863373935453,417.0467529296875,5855.1806640625,4480.950403225806,1104732160.0,0,10.0,4.106497621041028e-11,4.106519800720516e-11,5.99276077628949e+23,154.26080322265625
graded_wide,2048,64,blocked_fp16,10,3,3,0.05311931693975107,0.05311931693975107,0.0033094366618855175,38.29075241088867,58.76432800292969,204.37238703547297,4524032.0,0,10.0,6.425539039790504e-11,5.2306728678540285e-11,12788319788545.0,10.457183837890625
graded_wide,30720,1024,blocked_fp16,10,3,3,0.7239906775524831,0.04826604517016554,0.0011050561259507144,965.998291015625,19537.888671875,17421.043824701195,3254538240.0,0,10.0,1.488990684764749e-10,1.7056900810901104e-10,2.634742467654178e+30,369.49993896484375
graded_wide,30720,1024,blocked_fp32_accumulate,10,3,3,0.15902367385000699,0.010601578256667132,0.0009057413262313356,966.3895874023438,19400.7265625,14108.446215139442,3165112320.0,0,10.0,3.577072031178858e-11,4.678509746442254e-11,2.3368012165155693e+28,368.8753967285156
graded_wide,40960,1024,blocked_fp16,0,3,3,1.018416936688038,0.0509208468344019,0.0008214601544044908,1369.963623046875,40139.765625,24590.570750988143,6073712640.0,0,0.0,,,,0.0
graded_wide,4096,64,blocked_fp16,10,3,3,0.10130077199397487,0.050650385996987436,0.002596187459203881,76.61593627929688,159.76663208007812,291.7463692946058,20639744.0,0,10.0,7.117789396367301e-11,8.327757947391389e-11,162274682320287.0,20.841503143310547
graded_wide,512,64,blocked_fp16,10,3,3,0.015101068392872922,0.06040427357149169,0.00838169904637205,9.78275203704834,13.179903984069824,84.7054744629799,208896.0,0,10.0,1.445227565063328e-10,1.0455450475364451e-10,704.48876953125,3.264832019805908
graded_wide,61440,1024,blocked_fp16,0,3,3,1.7909699538971866,0.059698998463239554,0.0008039819214799507,3262.064697265625,116858.96875,45190.19669551534,14871306240.0,0,0.0,,,,0.0
graded_wide,61440,1024,blocked_fp32_accumulate,0,3,3,0.22154276841666284,0.007384758947222095,0.0006209612220486192,3262.26025390625,116557.2578125,19404.40157480315,13580328960.0,0,0.0,,,,0.0
graded_wide,8192,128,blocked_fp16,10,3,3,0.19291616618987378,0.048229041547468446,0.002175914114281473,154.18460083007812,568.7073364257812,847.249303343949,110297088.0,0,10.0,1.0216656463201771e-10,1.1377000270334008e-10,7.192340458230255e+24,45.10758590698242
iid_random,10240,128,blocked_fp16,10,3,3,0.1654340193221996,0.03308680386443992,0.0013653276491824387,201.7420196533203,732.4528198242188,4565.48974609375,0.0,0,10.0,0.0024148684858726743,0.0024198363425835387,3.8032509887681725e+25,60.59516906738281
iid_random,10240,128,blocked_fp32_accumulate,10,3,3,0.03127340193184449,0.006254680386368898,0.0012444582272285534,202.53993225097656,727.0431518554688,4626.99609375,0.0,0,10.0,0.0004872388379742073,0.0004487298810000112,5010637161107.345,60.82831954956055
iid_random,1024,64,blocked_fp16,10,3,3,0.01999619785727025,0.0399923957145405,0.004600689643475403,20.173280715942383,24.10909080505371,687.49609375,0.0,0,10.0,0.000998421446826935,0.00022863706302692934,14.637266039848328,5.796832084655762
iid_random,20480,512,blocked_fp16,10,3,3,0.32375405780891015,0.032375405780891015,0.0011594860041115622,417.2818298339844,4833.74853515625,26945.37890625,0.0,0,10.0,0.0026462143480407868,0.0027341098917523926,9.202285178535434e+21,154.3465576171875
iid_random,20480,512,blocked_fp32_accumulate,10,3,3,0.07350018275442495,0.007350018275442495,0.0008904869408509032,417.0814514160156,4848.52490234375,23327.408203125,0.0,0,10.0,0.0006936683136925494,0.0007314380141544459,7435765575069.575,154.39797973632812
iid_random,2048,64,blocked_fp16,10,3,3,0.03707111203058574,0.03707111203058574,0.002978973768845381,38.17536163330078,48.29597091674805,1056.3948974609375,0.0,0,10.0,0.001088506157061872,0.0008559809443245563,1983938596.638359,10.353023529052734
iid_random,30720,1024,blocked_fp16,10,3,3,0.4886086412992154,0.03257390941994769,0.0008006201485845584,965.8289184570312,16471.169921875,88662.046875,577320960.0,0,10.0,0.0035702863098421907,0.0038790036319429596,1.3030794593325964e+25,368.9535827636719
iid_random,30720,1024,blocked_fp32_accumulate,10,3,3,0.12195162787051794,0.008130108524701196,0.0009531951020350082,964.8506469726562,16351.3759765625,70152.109375,494407680.0,0,10.0,0.000963615632562039,0.0009602188760209641,1.6138362196198754e+19,368.92626953125
iid_random,40960,1024,blocked_fp16,0,3,3,0.6728489729271513,0.03364244864635756,0.0008697281317441278,1371.41357421875,35866.44140625,121019.984375,1494958080.0,0,0.0,,,,0.0
iid_random,4096,64,blocked_fp16,10,3,3,0.06997907593635404,0.03498953796817702,0.0022960675962222176,76.6213150024414,124.48054504394531,1641.673583984375,0.0,0,10.0,0.0014557154133242943,0.0014212341360405865,30903809392.947033,20.873279571533203
iid_random,512,64,blocked_fp16,10,3,3,0.010608452434849508,0.04243380973939803,0.006472737658758094,9.759712219238281,11.379712104797363,496.04925537109375,0.0,0,10.0,0.0007615695740175337,4.7848090637951734e-05,0.7550659328699112,3.192512035369873
iid_random,61440,1024,blocked_fp16,0,3,3,1.1186697191185182,0.03728899063728394,0.000621497505909695,3268.4140625,109985.4765625,229834.421875,5055037440.0,0,0.0,,,,0.0
iid_random,61440,1024,blocked_fp32_accumulate,0,3,3,0.16955852304739327,0.005651950768246442,0.0006044194213220093,3274.376953125,109652.5078125,99796.484375,3569295360.0,0,0.0,,,,0.0
iid_random,8192,128,blocked_fp16,10,3,3,0.13405965691563757,0.03351491422890939,0.0013968115710730243,154.2230682373047,437.3463439941406,4189.015625,0.0,0,10.0,0.0019909913624194917,0.0021929214738029136,188775374097.3071,45.117889404296875
near_singular,10240,128,blocked_fp16,10,3,3,0.004294058985929948,0.0008588117971859895,0.12127531604863315,201.8731231689453,726.410400390625,1.1540077924728394,0.0,0,10.0,0.0009995791715167687,1.4716607446776928e-05,0.02375726163154468,60.49158477783203
near_singular,1024,64,blocked_fp16,10,3,3,0.003982782050753176,0.007965564101506352,0.0014138894878490537,18.093311309814453,21.58083152770996,3.305279493331909,0.0,0,10.0,0.00689696437084926,6.772372219421259e-06,0.006148347049020231,5.227327823638916
near_singular,20480,512,blocked_fp16,10,3,3,0.002567160613647764,0.00025671606136477637,0.1029986019274652,416.752197265625,4831.4072265625,1.6982738971710205,0.0,0,10.0,0.00048133552932954574,2.983983207717689e-06,0.004697151365689933,154.23916625976562
near_singular,30720,1024,blocked_fp16,10,3,3,0.002644622818015478,0.00017630818786769852,0.1298164309538093,967.545166015625,16390.041015625,2.804361343383789,0.0,0,10.0,0.00028140217484892146,4.23458747382292e-06,0.006873385738799698,369.59185791015625
near_singular,4096,64,blocked_fp16,10,3,3,0.0017224909123567625,0.0008612454561783813,0.0744362289351824,76.88873291015625,123.85597229003906,1.3098680973052979,0.0,0,10.0,0.003493883875689586,9.101842493902446e-06,0.012636130180908367,20.966367721557617
random,10240,128,blocked_fp16,10,3,3,0.006914399123721778,0.0013828798247443558,0.0014410688511250038,202.39727783203125,727.023681640625,2.075637787868714,0.0,3,5.0,0.0006260356401144931,2.838860013366387e-13,1.5143886145096985e-11,35.491966247558594
random,10240,128,blocked_fp32_accumulate,10,3,3,0.0016336584654191072,0.0003267316930838214,0.0011526216205458286,201.84136962890625,721.6917114257812,2.0807630882041828,0.0,3,4.0,0.00017771371195696742,4.833169809332234e-13,2.513611541132832e-11,30.50649642944336
random,1024,64,blocked_fp16,10,3,3,0.0010638294495127292,0.0021276588990254584,0.003328653597670477,20.18275260925293,22.08054542541504,1.4688536535148695,0.0,3,4.0,0.0006137926298040042,3.905896612563485e-14,2.5224267119483557e-13,2.9329280853271484
random,20480,512,blocked_fp16,10,3,3,0.012735097619143952,0.0012735097619143952,0.0008837014994673336,416.96337890625,4824.63330078125,7.453001276897969,0.0,3,7.0,0.000690809707518972,4.726690410234877e-14,6.658451567886914e-12,115.66636657714844
random,20480,512,blocked_fp32_accumulate,10,3,3,0.0027109602811399664,0.00027109602811399667,0.001057576430882495,417.8746643066406,4838.48486328125,7.441533278681093,0.0,3,4.0,0.0001493249159320327,4.5009864509542416e-13,5.418199222617659e-11,77.28377532958984
random,30720,1024,blocked_fp16,10,3,3,0.019436815871126924,0.0012957877247417949,0.000931335363400006,966.2299194335938,16385.548828125,290.93740933268856,0.0,0,10.0,0.00031541360742821033,0.0002579681101913354,1807453009.1520925,369.0743103027344
random,30720,1024,blocked_fp32_accumulate,10,3,3,0.0052389358326112865,0.00034926238884075243,0.0009461545005902625,966.1306762695312,16265.5732421875,310.13442940038686,0.0,0,10.0,0.00015232637042097747,1.4136001905334593e-07,0.0003404701128602028,368.7532043457031
random,4096,64,blocked_fp16,10,3,3,0.0031483373968512938,0.0015741686984256469,0.0022621735873447524,76.59187316894531,123.29581451416016,1.5118862720246011,0.0,3,4.0,0.000683985911154102,9.154225432385649e-13,2.0291102131864136e-11,10.494144439697266
random,61440,1024,blocked_fp32_accumulate,0,3,3,0.08008621057701824,0.0026695403525672746,0.0007515267635689764,3268.456298828125,108981.484375,1387.3398210831722,0.0,0,0.0,,,,0.0
underflow,10240,128,blocked_fp16,0,3,3,0.002103525078879286,0.00042070501577585724,0.12232976292559702,201.75018310546875,726.218994140625,1.140350103378296,0.0,0,0.0,,,,0.0
underflow,20480,512,blocked_fp16,0,3,3,0.004446536831477131,0.00044465368314771314,0.11586226992158032,412.8183898925781,4824.08984375,1.687551498413086,0.0,0,0.0,,,,0.0
underflow,2048,64,blocked_fp16,0,3,3,0.00014064351196035524,0.00014064351196035524,0.10719944693257998,37.93507385253906,47.19820022583008,1.067480206489563,0.0,0,0.0,,,,0.0
