n,panel_width,method,family,tau,window,gpu_ms,gflops,tflops,backward_error,growth_factor,dp_accepts,dp_fallbacks,gp_near_ties,gp_second,scap_cur,scap_mid,scap_last,rp_iters
1024,64,PP,uniform,1.01,6,20.4187,35.0574,0.0350574,0.0145921,44.7812,0,0,0,0,0,0,0,0
1024,64,DP,uniform,1.01,6,19.6119,36.4996,0.0364996,0.0145921,44.7812,5,1019,0,0,0,0,0,0
1024,64,GP,uniform,1.01,6,19.1866,37.3087,0.0373087,0.014115,59.125,0,0,97,73,0,0,0,0
1024,64,ScPP,uniform,1.01,6,20.6964,34.587,0.034587,0.0145239,45.9375,0,0,0,0,0,0,0,0
1024,128,PP,uniform,1.01,6,20.0184,35.7586,0.0357586,0.660884,17.3594,0,0,0,0,0,0,0,0
1024,64,PP,uniform,1.01,6,21.4719,33.3379,0.0333379,0,1,0,0,0,0,0,0,0,0
